title,description,has_media,authenticity_score
Spring Drop Hero Reveal,Real talent narrating a 30s product reveal with CG backgrounds disclosed,1,96.5
Vote 2026 PSA,Non-partisan civic engagement message recorded by verified voice talent,1,94.0
Quarterly Earnings Recap,Executive interview with on-screen captions and verified transcripts,1,92.7
Synthetic Spokesperson Promo,Fully AI-generated host claims guaranteed results 100% of the time,0,38.2
Miracle Cure Reveal,Shocking secret they won't tell you about a guaranteed weight loss method,0,21.4
Eco Brand Refresh,Documentary-style brand film featuring real interviews with employees,1,91.3
Mystery Influencer Endorsement,Anonymous voice exposes secret about competitor product,0,44.1
Holiday Family Campaign,Family-shot footage with original score and disclosed AI color grading,1,89.5
Crypto Get Rich Quick,Guaranteed 100% returns shocking secret investors don't want exposed,0,12.7
Live Concert Recap,Multi-camera footage of a live event with verified rights and artist consent,1,95.1
